date,platform,post_id,campaign,style,daylight_lighting,hook_angle,reach,impressions,views,engagement,engagement_rate,saves,shares,follower_growth,app_store_taps,ctr,installs,install_per_view,spend,cpm,cpc,cpi,cac,roas
2026-05-04,TikTok,cp-001,,Noir,Blue hour,wasted credits,1820,3110,612,58,9.5,21,9,18,14,2.3,5,0.82,0,,,,,,
2026-05-04,Instagram,cp-001,,Noir,Blue hour,wasted credits,420,690,88,6,6.8,3,1,4,2,2.3,1,1.14,0,,,,,,
2026-05-04,YouTube,cp-001,,Noir,Blue hour,wasted credits,610,880,540,22,4.1,4,3,7,8,1.5,3,0.56,0,,,,,,
2026-05-04,Facebook,cp-001,,Noir,Blue hour,wasted credits,540,760,210,11,5.2,2,2,3,4,1.9,1,0.48,0,,,,,,
2026-05-11,TikTok,cp-002,,Anamorphic,Golden hour,style + light,3240,5120,738,92,12.4,41,19,34,27,3.7,11,1.49,0,,,,,,
2026-05-11,Instagram,cp-002,,Anamorphic,Golden hour,style + light,510,820,96,8,8.3,5,2,6,3,3.1,1,1.04,0,,,,,,
2026-05-11,YouTube,cp-002,,Anamorphic,Golden hour,style + light,720,1010,468,19,4.0,5,4,9,9,1.9,4,0.85,0,,,,,,
2026-05-11,Facebook,cp-002,,Anamorphic,Golden hour,style + light,480,690,188,9,4.8,2,1,2,3,1.6,1,0.53,0,,,,,,
2026-05-18,TikTok,cp-003,,Vintage film,Golden hour,style + light,4010,6340,694,108,15.6,58,27,46,33,4.8,16,2.31,0,,,,,,
2026-05-18,Instagram,cp-003,,Vintage film,Golden hour,style + light,580,910,71,7,9.9,6,3,7,3,4.2,1,1.41,0,,,,,,
2026-05-18,YouTube,cp-003,,Vintage film,Golden hour,style + light,690,940,296,14,4.7,4,3,6,7,2.4,3,1.01,0,,,,,,
2026-05-18,Facebook,cp-003,,Vintage film,Golden hour,style + light,450,640,165,8,4.8,2,1,2,3,1.8,1,0.61,0,,,,,,
2026-05-25,TikTok,cp-004,,Noir,Harsh noon,wasted credits,2120,3480,401,44,10.0,19,7,15,9,2.2,3,0.75,0,,,,,,
2026-05-25,Instagram,cp-004,,Noir,Harsh noon,wasted credits,360,560,42,3,7.1,2,1,2,1,2.4,0,0.00,0,,,,,,
2026-05-25,YouTube,cp-004,,Noir,Harsh noon,wasted credits,560,790,372,15,4.0,3,2,5,5,1.3,2,0.54,0,,,,,,
2026-05-25,Facebook,cp-004,,Noir,Harsh noon,wasted credits,420,600,142,7,4.9,2,1,2,2,1.4,1,0.70,0,,,,,,
2026-06-01,TikTok,cp-005,,Anamorphic,Golden hour,style + light,3860,6010,705,99,14.0,52,24,39,29,4.1,13,1.84,0,,,,,,
2026-06-01,Instagram,cp-005,,Anamorphic,Golden hour,style + light,540,860,84,7,8.3,5,2,5,3,3.6,1,1.19,0,,,,,,
2026-06-01,YouTube,cp-005,,Anamorphic,Golden hour,style + light,700,980,512,21,4.1,5,4,8,9,1.8,4,0.78,0,,,,,,
2026-06-01,Facebook,cp-005,,Anamorphic,Golden hour,style + light,470,670,196,10,5.1,2,2,3,3,1.5,1,0.51,0,,,,,,
2026-06-13,TikTok,cp-013,Downloads,Direct promo,,wasted credits,,,,,,,,,,,,,0,,,,,,
2026-06-13,Instagram,cp-013,Downloads,Direct promo,,wasted credits,,,,,,,,,,,,,0,,,,,,
2026-06-13,YouTube,cp-013,Downloads,Direct promo,,wasted credits,,,,,,,,,,,,,0,,,,,,
2026-06-13,Facebook,cp-013,Downloads,Direct promo,,wasted credits,,,,,,,,,,,,,0,,,,,,
